День,Время,Блок,Задачи,Ресурсы,Практика (баг-репорты)
"День 1","10:00–11:30","Типы тестирования","Прочитать о юнит, интеграционном, функциональном, регрессионном тестировании. Записать определения и примеры: юнит (метод `calculateBalance`), интеграционное (API `/login`), функциональное (форма перевода), регрессионное (повтор формы). Написать по 1 тест-кейсу: юнит (`addFunds`), интеграционное (API `/login`), функциональное (кнопка ""Отправить""), регрессионное (форма после фикса).","https://www.softwaretestinghelp.com/types-of-software-testing/","Найти 2 бага на Guru99 Banking (например, некорректная валидация пароля). Оформить в JIRA: ID, заголовок, шаги, ожидаемый/фактический результат, окружение (Chrome 126, Windows 11), скриншот."
"День 1","11:40–13:00","SDLC","Прочитать про SDLC (Agile, Waterfall). Записать роль QA: планирование (тест-планы), разработка (тест-кейсы), тестирование (баг-репорты), деплой (регрессия). Нарисовать схему SDLC в diagrams.net. Написать 1 тест-кейс для API `/transfer`.","https://www.guru99.com/software-testing.html","-"
"День 1","13:00–14:00","Обед","-","-","-"
"День 1","14:00–15:30","JIRA","Пройти туториал по JIRA (Getting Started, Issues, JQL). Создать проект ""QA Prep"" в JIRA Cloud Free. Добавить 2 бага (например, баг баланса с Guru99), 2 задачи (""Протестировать форму логина"", ""Написать тест-кейс для API""), 3 JQL-запроса (`project = ""QA Prep"" AND type = Bug`, `status = ""To Do"" AND assignee = currentUser()`, `priority = High`).","https://www.atlassian.com/software/jira/guides","Найти 1 баг на Altoro Mutual (например, битая ссылка). Оформить в JIRA с шагами, скриншотом."
"День 1","15:40–17:00","Повторение","Повторить типы тестирования устно (юнит vs интеграционное). Создать 3 тест-кейса в JIRA (форма перевода, логин, регистрация).","-","Найти 2 бага на Altoro Mutual (например, ошибка валидации суммы перевода). Оформить в JIRA: шаги, окружение (Firefox 124, Windows 10), скриншот."
"День 1","17:00–18:00","Баг-репорты","Найти 3 бага на Guru99 Banking или Altoro Mutual (например, UI-ошибки, проблемы форм). Оформить в JIRA с шагами, окружением, скриншотами. Пример: ""Битая ссылка 'Contact Us', шаги: открыть сайт, кликнуть ссылку, результат: 404, приоритет: Низкий"".","https://app.prntscr.com/","Оформить 3 баг-репорта."
"День 2","10:00–11:30","Теория API","Пройти Postman Learning Center (Introduction, HTTP Methods). Записать шпаргалку: методы (GET, POST, PUT, DELETE), статусы (200, 201, 400, 401, 403, 404, 500, 503). Прочитать про JSON на W3Schools. Написать примеры: GET `/users`, POST `/users` `{ ""name"": ""Anna"", ""job"": ""QA"" }`, PUT `/users/1`, DELETE `/users/1`.","https://learning.postman.com/","Найти 1 баг на ReqRes (например, отсутствие ошибки в POST). Оформить в JIRA."
"День 2","11:40–13:00","Postman","Установить Postman. Создать коллекцию ""ReqRes Tests"": GET `/api/users?page=2` (проверить статус 200, поле `data`), POST `/api/users` `{ ""name"": ""Anna"", ""job"": ""QA"" }` (проверить статус 201, поля `name`, `job`). Написать автотест: `pm.test(""Status is 200"", function () { pm.response.to.have.status(200); }); pm.test(""Response has data"", function () { pm.expect(pm.response.json().data).to.exist; });`.","https://reqres.in/","Найти 1 баг (например, некорректный JSON). Оформить в JIRA с JSON-ответом."
"День 2","13:00–14:00","Обед","-","-","-"
"День 2","14:00–15:30","Тестирование REST","Создать коллекцию ""Petstore Tests"" в Postman для Swagger Petstore: GET `/pet/findByStatus?status=available` (проверить статус 200, массив питомцев), POST `/pet` `{ ""id"": 999, ""name"": ""TestDog"", ""status"": ""available"" }` (проверить статус 200, `id`, `name`), PUT `/pet` (обновить `name` на ""TestDogUpdated""), DELETE `/pet/999` (проверить статус 200). Написать автотест: `pm.test(""Pet has name"", function () { pm.expect(pm.response.json()[0].name).to.exist; });`.","https://petstore.swagger.io/","Найти 1 баг (например, неверный `id`). Оформить в JIRA с JSON-ответом."
